File mappings for integration of Perl 5.6.1 into Solaris 9,,,,,,,,,
"Version 6, 30/05/2001",,,,,,,,,
,,,,,,,,,
./ext/Devel/Peek/,pm_to_blib,,,X,delete,X
./ext/DynaLoader/,DynaLoader.c,X,,X,delete,
./ext/DynaLoader/,DynaLoader.pm,X,,X,delete,
./ext/DynaLoader/,DynaLoader.xs,X,,X,delete,
./ext/DynaLoader/,DynaLoader_pm.PL,X,distrib,X,distrib,
./ext/DynaLoader/,Makefile,X,,X,delete,
./ext/DynaLoader/,Makefile.PL,X,distrib,X,distrib,
./ext/DynaLoader/,README,X,distrib,X,delete,
./ext/DynaLoader/,XSLoader.pm,,,X,delete,X
./ext/DynaLoader/,XSLoader_pm.PL,,,X,distrib,X
./ext/DynaLoader/,dl_aix.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_beos.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_cygwin32.xs,X,distrib,,,
./ext/DynaLoader/,dl_dld.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_dllload.xs,,,X,delete,X
./ext/DynaLoader/,dl_dlopen.xs,X,distrib,X,distrib,
./ext/DynaLoader/,dl_dyld.xs,,,X,delete,X
./ext/DynaLoader/,dl_hpux.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_mac.xs,,,X,delete,X
./ext/DynaLoader/,dl_mpeix.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_next.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_none.xs,X,distrib,X,delete,
./ext/DynaLoader/,dl_vmesa.xs,,,X,delete,X
./ext/DynaLoader/,dl_vms.xs,X,distrib,X,delete,
./ext/DynaLoader/,dlutils.c,X,distrib,X,distrib,
./ext/DynaLoader/,pm_to_blib,X,,X,delete,
./ext/DynaLoader/hints/,aix.pl,,,X,delete,X
./ext/DynaLoader/hints/,linux.pl,,,X,delete,X
./ext/DynaLoader/hints/,netbsd.pl,,,X,delete,X
./ext/DynaLoader/hints/,openbsd.pl,,,X,delete,X
./ext/Errno/,ChangeLog,X,distrib,X,delete,
./ext/Errno/,Errno.pm,X,,X,delete,
./ext/Errno/,Errno_pm.PL,X,distrib,X,distrib,
./ext/Errno/,Makefile,X,,X,delete,
./ext/Errno/,Makefile.PL,X,distrib,X,distrib,
./ext/Errno/,pm_to_blib,X,,X,delete,
./ext/Fcntl/,Fcntl.bs,X,,X,delete,
./ext/Fcntl/,Fcntl.c,X,,X,delete,
./ext/Fcntl/,Fcntl.pm,X,distrib,X,distrib,
./ext/Fcntl/,Fcntl.xs,X,distrib,X,distrib,
./ext/Fcntl/,Makefile,X,,X,delete,
